id,name,scientific_name,description,image_url,location,funder
297,Tomato Clownfish,Amphiprion frenatus,"Bright red-orange, darting among anemone tentacles, bold yet tiny, highly territorial, playful, alert, charming reef entertainer, quick movements, schooling occasionally, tiny reef celebrity.",UNDEFINED,GBR,
298,Tommy Ruff,Arripis georgianus,"Silver schooling fish, darting in tight shoals, feeding on plankton and small crustaceans, fast, agile, alert, flickering flashes along shallow reefs.",tommyruff.png,GSR,
299,Triangular Butterflyfish ,Chaetodon Baronessa,"Triangular body, bold yellow stripes, gliding over coral, feeding on polyps, small, alert, elegant, darting smoothly through branching corals.",triangularbutterflyfish.png,GBR,
300,Tripodfish,Bathypterois grallator ,"Slender, long tail, “tripod” fins for perching on deep-sea floor, drifting patiently, hunting pelagic invertebrates, slow, ghostly movements, eerie deep-water dweller.",UNDEFINED,DEEP,
301,Tropical Rock Lobster,Panulirus ornatus,"Long antennae, spiny exoskeleton, reef crevice dweller, nocturnal, photogenic, prized table crustacean, reef’s armored night prowler.",UNDEFINED,GBR,
302,Turncoat Hogfish,Bodianus axillaris,"Colour-changing body, agile wrasse, darting along rubble, snatching small crustaceans, shy yet curious, quick movements, blending with reef textures.",UNDEFINED,GBR,
303,Twolined Monocle Bream,Scolopsis bilineata,"Two thin lines along body, hovering near sand and rubble, feeding on crustaceans, small, agile, darting quickly, alert and precise forager.",twolinedmonoclebream.png,GBR,
304,Twotone Tang,Zebrasoma scopas,"Soft brown and darker gradient, grazing algae, gliding along reef slopes, shoaling occasionally, subtle movements, alert, elegant, small but bold.",UNDEFINED,GBR,
305,Urchin,Echinoidea,"Spiny, camouflaged on reef, grazing algae or hiding, slow-moving, defensive, subtle undulations, important for reef ecosystem balance, prickly yet essential.",urchin.png,ROCK,
306,Vampire Squid,Vampyroteuthis infernalis ,"Deep-sea ghost, cloak-like webbing, slow drifting, feeding on detritus, bioluminescent flashes, mysterious, alien-like, delicate yet resilient, rarely seen in daylight.",UNDEFINED,DEEP,
307,Velvet Leatherjacket,Meuschenia scaber,"Pale brown to whitish, grazing reef algae, slow glides over rubble, subtle movements, persistent forager, small yet durable, unassuming presence.",velvetleatherjacket.png,GSR,
308,Venus Tuskfish,Choerodon venustus,"Bright blue and orange jaws, crushes crustaceans with gnarly teeth, prowls reefs, flashy, bold personality, reef’s colorful demolition expert.",UNDEFINED,GBR,
309,Viperfish,Chauliodus,"Long fang teeth, predatory deep-sea dweller, ambush hunter of pelagic prey, sleek, ghostly, fast bursts, bioluminescent lure on jaw, night hunter.",UNDEFINED,DEEP,
310,Wahoo,Acanthocybium solandri,"Torpedo-shaped speedster, tropical offshore hunter, lightning-fast bursts, photogenic, ocean’s needle-finned missile chasing small prey.",UNDEFINED,OPEN,
311,Warty Prowfish,Aetapcus maculatus,"Juveniles smoother than adults, mottled warty texture, slow gliding, camouflaged among rubble, ambush predator, subtle movements, stealthy and curious.",wartyprowfish.png,GSR,
312,Weedy Sea Dragon,Phyllopteryx taeniolatus,"Delicate leaf-like appendages, drifting among kelp, slow graceful glides, feeding on tiny crustaceans, striking camouflage, slow, mesmerizing movements.",weedyseadragon.png,GSR,
313,Weeping Toadfish,Torquigener pleurogamma,"Grows up to 21 cm, subtle coloration, hovering near rubble, small invertebrate feeder, twitchy movements, curious yet cautious, slow glides along reef floor.",weepingtoadfish.png,GSR,
314,Western Blue Grouper,Achoerodus gouldii,"Massive, robust, hovering near rocky reefs, ambushing prey, slow glides, bold yet cautious, patterned blue body, apex predator of local reef slopes.",westernbluegrouper.png,GSR,
315,Western Talma ,Chelmonops curiosus,"Elongated snout, delicate movements, grazing tiny invertebrates from crevices, cautious yet curious, slender body weaving elegantly along reef rubble.",westerntalma.png,GSR,
316,Whale Shark,Rhincodon typus,"Gentle giant, filter-feeding plankton, gliding slowly across open water, massive spotted body, curious yet calm, migratory, awe-inspiring, ocean’s floating leviathan.",UNDEFINED,OPEN,
317,Whiptail Stingray,Himantura fai,"Slender, whip-like tail, hidden in sand, gliding slowly, ambush predator, subtle reef-floor phantom, elegant, rarely noticed until it moves.",UNDEFINED,GBR,
318,White Tip Reef Shark,Triaenodon obesus,"Slender, slow-cruising, tip of dorsal fins white, resting in caves by day, agile hunter at night, alert, low-drama predator.",UNDEFINED,GBR,
319,Wobbegong,Orectolobus maculatus,"Flat, camouflaged, lying motionless among reef rubble, ambush predator, toothy grin, subtle twitching movements, striking patterns, patient and stealthy.",wobbegong.png,GSR,
320,Woods Siphonfish,Siphamia cephalotes,"Tiny, semi-transparent, hovering near coral, symbiotic glow sometimes present, darting, schooling, subtle predator of micro-reef crustaceans, delicate, persistent little flyer.",woodssiphonfish.png,GSR,
321,Xenophyophorea ,Xenophyophorea ,"Giant single-celled deep-sea dweller, secretes sediment structure, ghostly presence, slow growth, mysterious, alien-like, deep abyssal engineer of benthic habitats.",UNDEFINED,DEEP,
322,Yellow Flutemouth,Fistularia commersonii,"Long tubular snout, darting through reef crests, hunting small fish, gliding elegantly, alert, slender, subtle hunter with eerie presence.",UNDEFINED,GBR,
323,Yellow Spotted Boxfish,Ostracion cubicus,"Bright yellow spots on boxy body, slow reef glider, curious, photogenic, algae and invertebrate nibbler, subtle tropical reef jewel.",UNDEFINED,THAI,
324,Yellowfin Parrotfish,Scarus flavipectoralis,"Bright yellow fins, scraping algae, nibbling coral polyps, gliding steadily over reef, small bursts of speed, persistent reef gardener, vibrant and bold.",UNDEFINED,GBR,
325,Yellowfin Tuna,Thunnus albacares,"Sleek silvery hunter, yellow fin flashes, pelagic fast swimmer, schools, oceanic powerhouse, tropical offshore predator, photogenic.",UNDEFINED,OPEN,
326,Yellowhead Hulafish,Trachinops noarlungae,"Social butterfly, forming large schools, weaving among reef fish, darting, playful, constant movement, bringing lively party energy to reef floors.",yellowheadhulafish.png,GSR,
327,Yellowhead Jawfish,Opistognathus aurifrons,"Tiny sand burrower, pops head out, photogenic, subtle reef-floor behaviors, territorial, reef’s quirky tiny sentinel.",UNDEFINED,THAI,
328,Yellowtail Barracuda,Sphyraena flavicauda,"Sleek silver body, vibrant yellow tail, fast schooling reef hunter, darting predator, photogenic, glides over shallow tropical reefs, subtle ambush predator.",UNDEFINED,GBR,
329,Yellowtail Damselfish,Chrysiptera parasema,"Tiny blue powerhouse, fiercely territorial, darting among rubble, chasing intruders, vibrant, alert, persistent, playful little reef sentry with attitude.",UNDEFINED,GBR,
330,Yellowtail Kingfish,Seriola lalandi,"Streamlined predator, yellow tail flashing, cruising open waters, hunting baitfish, bursts of speed, bold, powerful silhouette, apex reef and coastal hunter.",yellowtailkingfish.png,OPEN,
331,Zebra Shark,Stegostoma fasciatum,"Golden body with dark stripes as juvenile, spots as adult, nocturnal bottom-hugger, reef crawler, slow, elegant, photogenic nocturnal hunter.",UNDEFINED,GBR,
332,Zebrafish Girella,Girella Zebra,"Striped silvery body, grazing algae on shallow reef slopes, gliding steadily, alert, small bursts of speed when startled, peaceful yet energetic.",zebrafish.png,GSR,
333,Zooanthus Robustus,Zooanthus Robustus,"Colonial coral with thick polyps, filter-feeding plankton, swaying in currents, subtle movement, striking reef presence, vital habitat for microfauna.",zooanthusrobustus.png,GSR,
